time [Myr],wd1 [m],wd2 [m],wd3 [m],wd4 [m]
0.5164,-2.146936937063007,-2.1362531033107857,12.681257927628245,40.76682918252898
0.5166,-2.1409369370630067,-2.130253103310789,12.687257927628245,40.77282918252896
0.5168,-2.1349369370630065,-2.124253103310785,12.673780114816147,40.77882918252896
0.517,-2.1289369370630062,-2.118253103310785,12.67978011481614,40.78482918252896
0.5172,-2.122936937063006,-2.1122531033107848,12.68578011481614,40.79082918252896
0.5174,-2.116936937063006,-2.106253103310788,12.621280668945644,40.79682918252894
0.5176,-2.1109369370630056,-2.100253103310788,12.553111124078399,40.80282918252891
0.5178,-2.1049369370630053,-2.094253103310784,12.55453180839513,40.80882918252891
0.518,-2.098936937063005,-2.088253103310784,12.484616056116874,40.814611430261166
0.5182,-2.092936937063005,-2.082253103310787,12.409747809864118,40.8010251277055
0.5184,-2.0869369370630046,-2.076253103310787,12.336369510136855,40.807025127705494
0.5186,-2.080936937063008,-2.0702531033107903,12.264462718786806,40.81302512770549
0.5188,-2.074936937063004,-2.064253103310783,12.194298088799517,40.81902512770549
0.519,-2.068936937063004,-2.05825310331079,12.126453928006235,40.82502512770549
0.5192,-2.0629369370630037,-2.0522531033107896,12.067042966089442,40.83102512770546
0.5194,-2.056936937063007,-2.0462531033107894,12.073042966089442,40.83702512770543
0.5196,-2.050936937063007,-2.040253103310789,12.079042966089443,40.8430251277054
0.5198,-2.044936937063003,-2.034253103310789,12.01639563713254,40.849025127705374
0.52,-2.038936937063003,-2.0282531033107887,12.02239563713254,40.855025127705375
0.5202,-2.032936937063006,-2.0222531033107884,11.967003849835972,40.86083522320564
0.5204,-2.0269369370630095,-2.016253103310788,11.973003849835965,40.86663649022556
0.5206,-2.0209369370630093,-2.010253103310788,11.979003849835966,40.861004531027476
0.5208,-2.0149369370630055,-2.0042531033107878,11.978913496009575,40.85578302998934
0.521,-2.0089369370630052,-1.9982531033107875,11.910472217696682,40.86129677580372
0.5212,-2.0029369370630086,-1.9922531033107873,11.85016812097265,40.86729677580372
0.5214,-1.9969369370630083,-1.986253103310787,11.85616812097265,40.87329677580372
0.5216,-1.9909369370630081,-1.9802531033107869,11.861871751012952,40.86771441787602
0.5218,-1.9849369370630043,-1.9742531033107866,11.86776555281319,40.86237658394582
0.522,-1.9789369370630077,-1.9682531033107864,11.873459885079068,40.868333786639504
0.5222,-1.9729369370630074,-1.9622531033107862,11.879459885079068,40.874333786639504
0.5224,-1.9669369370630072,-1.956253103310786,11.885147407403512,40.879843311078176
0.5226,-1.960936937063007,-1.9502531033107857,11.890828857997143,40.87413784153024
0.5228,-1.9549369370630068,-1.9442531033107855,11.896485556606056,40.88013784153025
0.523,-1.9489369370630065,-1.9382531033107853,11.902371890567228,40.88613784153025
0.5232,-1.9429369370630063,-1.932253103310785,11.908371890567228,40.89213784153024
0.5234,-1.936936937063006,-1.9262531033107848,11.914014786832691,40.89813784153024
0.5236,-1.9309369370630058,-1.9202531033107846,11.920014786832692,40.89305535347116
0.5238,-1.9249369370630056,-1.9142531033107844,11.926014786832692,40.88658665027603
0.524,-1.9189369370630054,-1.9082531033107841,11.913234367116402,40.892586650276016
0.5242,-1.9129369370630052,-1.902253103310784,11.900494482909316,40.88729158847916
0.5244,-1.906936937063005,-1.8962531033107837,11.889456548382714,40.892796534332675
0.5246,-1.9009369370630047,-1.8902531033107834,11.878467285609595,40.886956483860615
0.5248,-1.8949369370630045,-1.8842531033107832,11.884342237544974,40.892956483860615
0.525,-1.8889369370630043,-1.878253103310783,11.873147534896646,40.898956483860616
0.5252,-1.882936937063004,-1.8722531033107828,11.878993419914288,40.89284880079575
0.5254,-1.8769369370630073,-1.8662531033107896,11.884867133867772,40.88694494024134
0.5256,-1.8709369370630071,-1.8602531033107894,11.89073640590291,40.88147393873512
0.5258,-1.8649369370630033,-1.854253103310782,11.896316177484511,40.88697036580657
0.526,-1.8589369370630031,-1.8482531033107819,11.90205730032784,40.880519560277754
0.5262,-1.8529369370630064,-1.8422531033107887,11.90778957881638,40.886519560277755
0.5264,-1.8469369370630062,-1.8362531033107885,11.91338992260198,40.892519560277755
0.5266,-1.8409369370630095,-1.8302531033107883,11.919289033988385,40.88727486786921
0.5268,-1.8349369370630022,-1.824253103310781,11.925289033988385,40.893274867869216
0.527,-1.8289369370630055,-1.8182531033107878,11.930237431308047,40.88697695602889
0.5272,-1.8229369370630053,-1.8122531033107876,11.935446030227052,40.89297695602889
0.5274,-1.8169369370630086,-1.8062531033107874,11.922573393908795,40.898711356102986
0.5276,-1.8109369370630084,-1.8002531033107871,11.910568865275668,40.89209575881939
0.5278,-1.8049369370630046,-1.794253103310787,11.916568865275668,40.898095758819395
0.528,-1.798936937063008,-1.7882531033107867,11.92241148317764,40.90409575881934
0.5282,-1.7929369370630077,-1.7822531033107865,11.911064860783714,40.91009575881928
0.5284,-1.7869369370630075,-1.7762531033107862,11.89978957609636,40.91609575881923
0.5286,-1.7809369370630073,-1.770253103310786,11.888583265745083,40.922095758819175
0.5288,-1.774936937063007,-1.7642531033107858,11.894574883726918,40.92809575881912
0.529,-1.7689369370630068,-1.7582531033107855,11.881857507808864,40.93409575881906
0.5292,-1.7629369370630066,-1.7522531033107853,11.887857507808857,40.940095758819055
0.5294,-1.7569369370630064,-1.746253103310785,11.893857507808857,40.946095758819055
0.5296,-1.7509369370630061,-1.740253103310792,11.881233717843259,40.940046792233495
0.5298,-1.744936937063006,-1.7342531033107846,11.86945869170632,40.94604679223349
