time [Myr],sac1 [m],sac2 [m],sac3 [m],sac4 [m],sac5 [m],sac6 [m],sac7 [m],sac8 [m],sac9 [m],sac10 [m],sac11 [m],sac12 [m],sac13 [m],sac14 [m],sac15 [m],sac16 [m],sac17 [m],sac18 [m],sac19 [m],sac20 [m],sac21 [m],sac22 [m],sac23 [m],sac24 [m],sac25 [m],sac26 [m],sac27 [m],sac28 [m],sac29 [m],sac30 [m]
0.52,41.83920145470026,43.492617859199434,45.15464999104662,46.88447970930041,48.5295465037987,50.17589728915583,51.738198684783015,51.208923455799166,44.353882632257424,38.25002714242166,29.724646883453964,24.289092512200945,21.542617556272173,19.313121261946417,16.681296635523346,14.595957616599952,15.02034568014088,14.076395133208623,13.173400894693843,12.416622424146711,11.555573149352778,11.646021087689242,11.231048686645876,10.300956564148517,9.83920727398359,9.981231627743933,9.999000917862285,10.620060033329732,9.933068217832654,10.41893153695409
0.54,41.83920145470026,43.492617859199434,45.15464999104662,46.88447970930041,48.5295465037987,50.17589728915583,51.738198684783015,52.50005762965624,45.39565116785797,40.244256045197574,30.758865427217938,25.14438261158489,22.260680424914742,19.922933981257483,17.183717302703005,14.916666629235236,15.350687385732202,14.558673699139007,13.624130658186777,12.572219344545779,11.932698253008525,12.187773642094816,11.818689686852228,10.774619175959206,10.190639458442087,10.317814782235246,10.005466156404415,10.765164661412337,10.494202205248707,10.906311360820196
0.56,41.83920145470026,43.492617859199434,45.15464999104662,46.88447970930041,48.5295465037987,50.17589728915583,51.738198684783015,53.432235423798076,49.768616821604596,41.77584763548684,32.573125801912326,26.03000157289571,22.920866546534413,20.720927552993942,17.914109814305608,15.09397223957888,15.660936110104156,14.934659109152474,14.001443077740918,13.069872862527067,12.170271818244416,12.315366435747288,11.863052416394032,10.788471820661375,10.201448231156752,10.576908816205853,10.069580479550885,11.186325949786333,11.203184607666424,11.03340635389167
0.58,43.44845456449239,44.926822351331936,46.78544027841082,48.35898096151095,50.10385862474252,51.70716382592323,53.36061807436714,55.05430503578131,54.15055435692615,44.232118607317794,34.83302072282639,27.147205540834136,23.42209982404586,20.960408777980458,18.37063706200645,15.307845207071638,16.037760584692847,15.438161336552858,14.647997826265973,13.342495647684009,12.6813365565645,12.66170625491738,12.19978630245615,11.008530049062554,10.826906160912559,10.89477005111814,10.529626305599109,11.707014839137289,11.529097522312057,11.667467528124426
0.6,45.32709774607863,47.24269765581509,49.00370321351508,50.485890091080954,52.20564500463596,53.9390211813743,55.349083386217,57.11278499377994,55.99992560179832,47.80877475727706,36.537525250275664,28.217158852921756,24.127917830009334,21.548618436189773,18.545984851554238,15.675717556423411,16.502412215473438,15.955033612334049,14.991226277560642,13.68992392248612,13.331138525227336,13.153391109068824,12.421710080570826,11.23285091417588,10.963537873321428,11.243911290588613,10.868642306721947,11.94972262614356,11.66675534609707,12.265513936173356
0.62,47.79093505209984,49.41461679318113,51.10234903896286,52.52832567438705,54.464317953341634,56.11080972943577,57.62643266412435,59.43149420545194,58.20580543686922,50.186333027134005,38.59359853452223,28.783583136484474,24.765805976955324,22.092665762687364,18.88780094373758,15.688016684099855,16.770159657490737,16.34481862975386,15.488299819749532,14.400040732840244,13.468733669844811,13.34719304579507,12.91730344025922,11.781648582854988,11.473873360080121,11.505351793225458,11.310332632690509,12.768071573786345,12.085627197859091,12.730638583400752
0.64,49.324695251818376,50.9395375354309,52.6241461611446,54.2963466609515,55.82086298887555,57.59989790346887,59.30925028394095,61.030871347620675,62.011319669250575,53.42128575956072,40.57507720296013,29.322713797929282,25.098970372148322,22.197613758059344,19.1795426217783,16.300626018791565,17.359005388230624,16.622206916128125,15.528150287525456,14.811371354731905,13.694816995070305,13.500350990494505,13.266182844804757,11.829214897053614,11.485630278921535,11.551784159064873,11.419205172750187,13.0401815323651,12.663754296294655,13.092084194804645
0.66,49.887468168018174,51.53533366224752,53.208919698588325,54.85985302608473,56.544815314125884,58.220755287680035,59.87225133253386,61.52682596764552,63.27053686083196,55.89714265679239,41.91340522174213,29.643288277675488,25.231253757393905,22.4778719589893,19.282680952194237,16.675052795131172,17.81547174575645,16.667552157776154,15.6652816268357,14.967904968356052,13.894333050947195,13.727175945169073,13.522051745003987,11.949946783066006,11.489671385916504,11.686872216648467,11.424392827160238,13.492430799775018,13.008354540097693,13.216853507739366
0.68,49.887468168018174,51.53533366224752,53.208919698588325,54.85985302608473,56.544815314125884,58.220755287680035,59.87225133253386,61.52682596764552,63.27053686083196,60.26836995033356,43.32967333854199,30.65939605889804,25.766455297758284,22.889264705499574,19.54338514469502,16.887033250641643,18.11992474850601,16.76664027699749,15.70401200034662,14.97727263675377,14.105926088583395,13.99753408127313,13.527025670371316,12.12102391794162,11.50651656907726,11.819677459353171,12.00707749322908,13.980340693297832,13.402035747904634,13.288682575695718
0.7,49.887468168018174,51.53533366224752,53.208919698588325,54.85985302608473,56.544815314125884,58.220755287680035,59.87225133253386,61.52682596764552,63.27053686083196,63.36407979341006,47.161899317743035,31.761998523598265,26.47622194925644,23.520563066602747,19.90537150632513,17.62423603578719,18.462272966002754,17.02698694500292,15.735409494622413,14.986325235489497,14.352080410710093,14.127243432582086,13.54070304998894,12.150002018460562,11.892971962788497,12.273823377692748,12.553458209148783,14.415173258349148,13.553977006629454,13.391595565425366
