time [Myr],adm1 [m],adm2 [m],adm3 [m],adm4 [m]
0.8066,29.50721061396315,41.060116717486245,52.785005504343424,22.010053386770167
0.8068,29.528452114080842,41.06146895567463,52.863184929966,22.017228732214484
0.807,29.55223255716898,41.08211258153036,52.863184929966,22.017228732214484
0.8072,29.576113361289945,41.0824431524663,52.863184929966,22.017228732214484
0.8074,29.600237792364833,41.103727602335326,52.863184929966,22.017228732214484
0.8076,29.601913243155813,41.104902824983185,52.863184929966,22.02343263531481
0.8078,29.62593542441357,41.18869480159356,52.96595794602656,22.02343263531481
0.808,29.649552102233052,41.18908184180876,52.96611810760614,22.02343263531481
0.8082,29.671179276739792,41.21096242243187,52.966276145616945,22.02343263531481
0.8084,29.6950119149525,41.2111432267569,53.06851267402279,22.030072273503755
0.8086,29.719237679734157,41.2111432267569,53.06851267402279,22.03724685978407
0.8088,29.722711418348922,41.233303418091936,53.06851267402279,22.03724685978407
0.809,29.748118092034616,41.23485799947703,53.166627997382264,22.03724685978407
0.8092,29.752051389785134,41.31909745217809,53.166627997382264,22.04384041240874
0.8094,29.756295015355317,41.40307722530527,53.24406045317506,22.050364400593317
0.8096,29.76083292935877,41.40319399168557,53.24406045317506,22.053235687435787
0.8098,29.85505804909441,41.40469512264135,53.24406045317506,22.075622577364967
0.81,29.93810288969354,41.48595805286922,53.24420068238334,22.075622577364967
0.8102,30.021172298237786,41.48595805286922,53.24420068238334,22.0763903083634
0.8104,30.099368321286747,41.567251316034,53.329007988943715,22.077164291955874
0.8106,30.099368321286747,41.567251316034,53.32933228094297,22.084652034571985
0.8108,30.099368321286747,41.64954595101038,53.43863139792243,22.091148502808437
0.811,30.099368321286747,41.72736254920981,53.43863139792243,22.097454527615266
0.8112,30.099368321286747,41.80375433999563,53.54041037692839,22.097454527615266
0.8114,30.11913192999688,41.87798514485147,53.54041037692839,22.104582239385948
0.8116,30.138367453167014,41.87798514485147,53.54041037692839,22.104582239385948
0.8118,30.138367453167014,41.87798514485147,53.54041037692839,22.104582239385948
0.812,30.22185948088402,41.953376284564875,53.540859860831176,22.11426270820653
0.8122,30.305935121827126,41.953376284564875,53.64744346688603,22.123981194706857
0.8124,30.389323851406928,42.02730625728346,53.64744346688603,22.13357941755292
0.8126,30.39168527749815,42.02730625728346,53.6479856137671,22.14320096397023
0.8128,30.500614158169263,42.04486408608186,53.7302764961555,22.146442039318956
0.813,30.50162222175881,42.06069310956326,53.7302764961555,22.16274500412101
0.8132,30.587267311441167,42.06069310956326,53.7302764961555,22.16274500412101
0.8134,30.58829942134165,42.06069310956326,53.73031400478659,22.179663531663444
0.8136,30.58829942134165,42.07915830056272,53.73084763831655,22.179663531663444
0.8138,30.58829942134165,42.09622678816213,53.8153114548423,22.179801881822858
0.814,30.677104757397135,42.09622678816213,53.8153114548423,22.183080328178868
0.8142,30.76153427531982,42.09622678816213,53.92253491973102,22.19790367249322
0.8144,30.844955791229943,42.1144114269547,53.92253491973102,22.19790367249322
0.8146,30.925214698934756,42.13213861041139,53.92314972508789,22.19790367249322
0.8148,30.925214698934756,42.13213861041139,54.02971806051693,22.19790367249322
0.815,30.925214698934756,42.20823410846631,54.02971806051693,22.19790367249322
0.8152,31.002128608554354,42.279365130330035,54.12540034155367,22.19790367249322
0.8154,31.002128608554354,42.279365130330035,54.12540034155367,22.19790367249322
0.8156,31.00265611159926,42.279365130330035,54.12540034155367,22.19790367249322
0.8158,31.081423206989324,42.35654622230228,54.12540034155367,22.19790367249322
0.816,31.15918458323311,42.43054881476763,54.225052059895994,22.198105760106206
0.8162,31.159732495907797,42.50200895159272,54.225052059895994,22.198305744643143
0.8164,31.238102710966604,42.567701296797274,54.225052059895994,22.19945388209278
0.8166,31.238102710966604,42.567701296797274,54.31837497224402,22.20036396508661
0.8168,31.255032009726747,42.63493483657447,54.31837497224402,22.200364833569175
0.817,31.255032009726747,42.63493483657447,54.31837497224402,22.20065996202341
