time [Myr],adm1 [m],adm2 [m],adm3 [m],adm4 [m],adm5 [m],adm6 [m],adm7 [m],adm8 [m],adm9 [m],adm10 [m],adm11 [m],adm12 [m],adm13 [m],adm14 [m],adm15 [m],adm16 [m],adm17 [m],adm18 [m],adm19 [m],adm20 [m],adm21 [m],adm22 [m],adm23 [m],adm24 [m],adm25 [m],adm26 [m],adm27 [m],adm28 [m],adm29 [m],adm30 [m],adm31 [m],adm32 [m],adm33 [m],adm34 [m],adm35 [m],adm36 [m],adm37 [m],adm38 [m],adm39 [m],adm40 [m]
2.396,134.18794998743292,134.95362504317848,138.5359376595938,139.0731170290609,141.36699431803694,142.20855233241033,144.87711315643256,146.68681013264927,148.1421243987664,150.23793606733773,149.30371594615937,152.62587992085778,155.51785258163343,156.66123341115465,159.23422766284236,159.7289926786022,161.97926649215415,162.68002417232364,142.374535840575,88.03344079625472,56.72260888454983,45.80216402913845,41.43932564746482,38.9638254736244,38.65725704269951,40.44954852557153,40.62554386225617,41.002230190331865,40.2582827141573,40.25421538436168,40.0305475882179,38.9308584242388,38.847818313822685,39.29431222772157,39.90533541162495,40.84712039485981,42.84306392829425,43.737064748861506,43.41744609603181,44.543661332452814
2.397,134.3053448031889,135.14378083758479,138.5359376595938,140.25257726864174,141.36699431803694,142.20855233241033,144.87711315643256,147.17991620710933,148.1421243987664,150.23793606733773,149.3184924938964,152.63051069795628,155.5395828550592,156.77316206768418,159.23422766284236,159.7519341715438,161.97926649215415,163.06563277540988,142.374535840575,88.31212754879608,56.77230929058704,45.82234056757981,41.44772939332942,38.97219993854304,38.66845652348202,40.4934389245838,40.631139435506746,41.002230190331865,40.259926914455534,40.25421538436168,40.0305475882179,38.933383346297425,38.84867860562354,39.2950590129396,39.90601960270941,40.84977562870041,42.84306392829425,43.737064748861506,43.42556467877829,44.54736962602134
2.398,134.37228813081978,135.3649014057723,138.62757299096637,140.25257726864174,142.01085336043715,142.2451638433365,145.91815061949964,147.17991620710933,148.41374366186872,150.23793606733773,149.33522935382885,152.63614207820504,155.57964643990476,156.86283921017747,159.23422766284236,160.5109266150886,161.97926649215415,163.2837097035098,142.97846222217046,88.32887385776756,56.832499370081855,45.91581337349162,41.48042829839879,38.98219505246238,38.67935155966738,40.4934389245838,40.63657915265683,41.002230190331865,40.26156855504346,40.25421538436168,40.0305475882179,38.935893545365495,38.84954916096436,39.29580176698538,39.90671020632277,40.85244011710158,42.84306392829425,43.737064748861506,43.433543861368946,44.55117805461951
2.399,134.61582218129865,135.56194291225833,138.70055328900813,140.25257726864174,142.04048700769778,142.3230793907593,145.91815061949964,147.17991620710933,148.57487693204732,150.3354803592411,149.51016235987493,152.7424531274869,155.61217157448232,156.87064003541934,159.23422766284236,160.5109266150886,161.97926649215415,163.4372837649672,142.97846222217046,88.36681419541425,56.89347073172881,46.06033509343119,41.48042829839879,38.99269925991229,38.68987340021455,40.4934389245838,40.6418605369155,41.002230190331865,40.26320445104827,40.25421538436168,40.0305475882179,38.93838919255878,38.850429591847636,39.29654052531969,39.90740738345954,40.85511348597271,42.84306392829425,43.737064748861506,43.44150621576546,44.55508360691565
2.4,134.61582218129865,135.8774201106048,138.75903999649645,141.33242389375908,142.06739311337418,145.28628678893455,145.91815061949964,147.17991620710933,148.58214860004466,150.3354803592411,150.1515477124862,152.7424531274869,155.63758117045617,157.02746432806796,159.23422766284236,160.5109266150886,162.26699701558906,163.45874829328287,142.97846222217046,88.43090408383966,56.949787567273944,46.146587804320525,41.48042829839879,39.00381242717315,38.70034275766506,40.4934389245838,40.646984465692185,41.002230190331865,40.264834155777415,40.25421538436168,40.0305475882179,38.940870453628506,38.85131953033317,39.297275329475106,39.90811043030776,40.85779535573744,42.84306392829425,43.737064748861506,43.548089787040304,44.559083469757134
2.401,134.93607544070957,136.11397608163622,138.76719663197431,141.33242389375908,142.09240225969887,145.28628678893455,145.91815061949964,147.17991620710933,148.72248083199395,150.46471007563076,150.66855153809354,152.8373064152651,155.65690729221268,157.14301891137478,159.23422766284236,160.64563983394416,162.26699701558906,163.70572634035236,142.97846222217046,88.52992875089126,56.99935942560157,46.22581236107025,41.48042829839879,39.01518981324144,38.71098038297282,40.4934389245838,40.651955316208166,41.002230190331865,40.2664570359034,40.25421538436168,40.0305475882179,38.94333749366327,38.85221862722347,39.29800622643952,39.908820738569695,40.86048534772311,42.8479929119717,43.78654273909162,43.5534887077205,44.563175907933825
2.402,135.01259620097906,136.48348361767825,138.76719663197431,141.33242389375908,142.11447085547923,145.28628678893455,145.94055176672637,147.6983117984828,148.7462284128344,151.72302639166415,151.03684285955632,152.90060826977899,155.6862606488708,157.275473427681,159.23422766284236,160.74958101694912,162.30570743167937,163.72995515412245,142.97846222217046,88.5346940901331,57.042225441191036,46.26349003786353,41.48042829839879,39.02659945227978,38.72169927806861,40.4934389245838,40.65680153778334,41.002230190331865,40.26807244547009,40.25421538436168,40.0305475882179,38.945790468262125,38.85312655120796,39.29873326662169,39.90953705003459,40.863183081450465,42.8596946984928,43.78654273909162,43.55922860599538,44.567662522912
2.403,135.3827567470297,136.64293823672327,140.56823266603087,141.33242389375908,142.79584255021382,145.28628678893455,145.9623161293263,147.76009541989677,148.95176939858558,151.72302639166415,151.11046895151415,152.9505816754821,156.22023424654478,157.48684874346586,159.2355493361609,161.8294495107511,163.9752972109198,163.7459877663112,143.7971123434395,88.64266372653438,57.23309417905687,46.3469710331629,41.48042829839879,39.03788869026504,38.73248654245393,40.4934389245838,40.66154147866651,41.002230190331865,40.26967826254672,40.25421538436168,40.0305475882179,38.94822951526323,38.85404297233823,39.29945650900614,39.91026002323402,40.865888176958435,42.86855256630908,43.78654273909162,43.56522964247658,44.572606843424104
2.404,135.62553965214022,136.64293823672327,140.56823266603087,141.33242389375908,142.79584255021382,145.28628678893455,145.98424012914407,147.8052416638266,149.2152215916226,151.72302639166415,151.20888179697772,153.02072243738888,156.22023424654478,157.64098890558827,159.36980352515053,161.8294495107511,163.9752972109198,163.914220277524,143.82273775712264,88.69291125000632,57.43006708433767,46.40752456488628,41.48042829839879,39.04895666028701,38.743318762398985,40.4934389245838,40.666187221017424,41.002230190331865,40.2712757482565,40.25421538436168,40.0305475882179,38.950654751988736,38.85496758925428,39.300176013160225,39.91098968013111,40.86860025569166,42.876031228025234,43.78654273909162,43.56732582196906,44.58264029495737
2.405,136.00908143282263,136.64293823672327,140.56823266603087,141.41915729389018,142.87197587693584,145.30164931459927,146.00636168572504,147.85445930473406,149.41732986080453,151.72302639166415,151.29887733121808,153.06380800236903,156.24635001273498,157.6502464907991,159.47120966291732,161.8294495107511,163.9752972109198,164.24179641191006,144.50002321649703,88.7108193861744,57.458142216500676,46.40752456488628,41.48042829839879,39.059738763490984,38.75417594980975,40.4934389245838,40.670746635367685,41.002230190331865,40.27286625905053,40.25421538436168,40.0305475882179,38.95306632828527,38.855900187478525,39.30089184258506,39.911726037279585,40.871318798828156,42.88237845418096,43.78654273909162,43.57809078549892,44.72433815213464
2.406,136.2004517794145,137.28790575684155,140.56823266603087,141.4904468235934,142.9216410218329,145.3156394442302,146.5621983778407,147.89085069907978,149.60834464546542,151.72302639166415,151.29887733121808,153.48872174016947,156.27111543662835,157.8002071484045,159.53292368984296,161.8294495107511,163.9752972109198,164.24179641191006,144.50002321649703,88.74595335233256,57.501566758143156,46.49247681579041,41.48042829839879,39.07019379839653,38.76502436444623,40.4934389245838,40.675224791281465,41.002230190331865,40.2744472575139,40.25421538436168,40.0305475882179,38.95546450468141,38.85684048253229,39.301604063940964,39.912469109462215,40.87404347536039,42.88777777046783,43.78654273909162,43.59362496553864,44.82765301518691
2.407,136.59195202448717,138.04628352621555,140.56823266603087,141.54984658909,142.9216410218329,145.33447218966984,146.5621983778407,147.93936634910978,149.7566746884803,151.72302639166415,151.29887733121808,153.6210767013848,156.39147498888252,157.80807659626086,159.53292368984296,161.8294495107511,163.9752972109198,164.26025299556767,144.50002321649703,89.13209653961772,57.563655654385315,46.620549963739606,41.48042829839879,39.08029336673793,38.77583291668127,40.4934389245838,40.67962492215507,41.002230190331865,40.27601656114448,40.25421538436168,40.0305475882179,38.957849305204384,38.857788210071284,39.30231274630792,39.913218909372006,40.876775238437425,42.89239447410444,43.79294374932197,43.60762554101628,44.83184901770481
2.408,136.81640771893177,138.04628352621555,140.56823266603087,141.69293354657245,143.7775390719545,145.35617334567456,146.5621983778407,148.13287379784333,149.87556889051982,151.72302639166415,151.48754369753578,153.93144532873225,156.46448873103762,157.81302869446424,159.53292368984296,161.8294495107511,163.9752972109198,164.26707387286805,144.6650815592454,89.29594045303206,57.67742084433819,46.65692018368996,41.48042829839879,39.090019237855145,38.78661794995181,40.4934389245838,40.68394908178897,41.002230190331865,40.2775758906185,40.25421538436168,40.0305475882179,38.96022176953343,38.8587431187967,39.303017962283015,39.913975447765914,40.8795166559062,42.89641169930447,43.7940308715459,43.62097394460228,44.91951331884633
2.409,136.81640771893177,138.0516486950177,140.56823266603087,142.45693899608887,143.7775390719545,145.36663230836243,146.5621983778407,148.24094127760117,149.88244339970473,151.72302639166415,151.51586629191124,154.611361917759,156.4768043503837,157.95232396943794,159.58823949883984,161.84279137564167,163.9752972109198,164.26817837814957,144.72142587834003,89.41422886044764,57.691077426634436,46.71916552553532,41.48042829839879,39.099368163360026,38.79739974632734,40.49501529754054,40.688198588434155,41.005966029535216,40.279124823999574,40.25421538436168,40.0305475882179,38.96258098466992,38.85970496976911,39.303719786210685,39.914738733506375,40.88227189331206,42.8999674904858,43.7940308715459,43.634207323928756,44.99467595469424
2.41,136.81874956419708,138.0516486950177,140.56823266603087,142.45693899608887,143.7775390719545,145.36663230836243,146.5621983778407,148.344396340926,149.90545809701513,151.72547383756233,151.67572290721048,154.611361917759,156.62367443440385,158.05403167000642,159.78443314008078,161.84279137564167,163.9752972109198,164.5936943633247,144.8143168977785,89.4554904653229,57.885929420280526,46.71916552553532,41.48042829839879,39.10834903992865,38.808174062167986,40.49903822814798,40.69237432218839,41.104346980052476,40.280662911227374,40.25421538436168,40.0305475882179,38.964927115867454,38.8606735478897,39.304418292708185,39.915508783092,40.88504591520257,42.9031022063205,43.79518378688711,43.64763492040637,45.07277113567299
2.411,136.82314621361175,138.05652324295488,140.56823266603087,142.45693899608887,143.78403694156793,145.43773321489002,146.5828483611378,148.34872771567706,149.92183200028737,151.83237756502658,151.68747007513633,154.611361917759,156.71362116225228,158.05673140963012,159.932123291856,163.129484566149,164.03913341648368,164.59888819931203,145.21194930907933,89.51460969175731,58.08254273449567,46.71916552553532,41.491989790531925,39.11697709951296,38.81889697870444,40.50540450868322,40.69302219516343,41.16896068554341,40.282189853979816,40.25421538436168,40.0305475882179,38.967260280626334,38.86164864170427,39.305113557851364,39.91628560237992,40.88784400791394,42.90618401225508,43.80429847388686,43.66358700999744,45.07718757220663
2.412,136.83480234445244,138.07167966272567,140.5732454958526,142.45693899608887,143.78403694156793,146.33844836860558,147.90076359442517,148.46162809338648,150.14526970579058,151.83239389159056,151.7251708310072,154.70077489149202,157.27088763887272,158.05673140963012,160.12996103477988,163.129484566149,164.08841476695704,164.59888819931203,145.38199414760123,89.84794572944404,58.13338039416995,46.71916552553532,41.68466461127841,39.125273841675146,38.82957730092211,40.51047506419266,40.69302219516343,41.16896068554341,40.283705573968874,40.25421538436168,40.0305475882179,38.96958004334198,38.86262997096161,39.30580565891915,39.91706918318798,40.89067181121522,42.90939076362861,43.8118597202615,43.683023522743994,45.08596616316057
2.413,136.9752216674135,138.28202248657777,141.27112322454553,142.45693899608887,143.9704530298689,146.33844836860558,147.90076359442517,148.47143306812308,150.33144897407138,151.841249177927,151.7353749081788,154.91376477708602,157.27088763887272,158.18125377975684,160.17742097418156,163.129484566149,164.12636309441723,164.59888819931203,146.1596186827083,90.1029165286557,58.3193381739914,46.80889213755128,41.70632993680512,39.25167399763924,38.84023502421397,40.51501488583847,40.69302219516343,41.174767302778406,40.28521566885075,40.25421538436168,40.0305475882179,38.97188792405894,38.8636173538947,39.30649467419151,39.91785952698749,40.89353545842649,42.912693120248264,43.818717417987905,43.70092235156128,45.09091066744408
2.414,136.98910496727171,138.3102681265444,141.27112322454553,142.45693899608887,144.0989473240279,146.33844836860558,147.9169078941474,148.94946558645495,150.55114859665682,151.85499424843616,151.93180120294122,155.13975431232612,157.94896222098285,158.2748832416067,161.10637731230608,163.129484566149,164.24105613545902,165.40513754614747,146.17360220669255,90.70454477529607,58.67239447399201,46.86468541913403,41.725555841890326,39.35181070866619,38.85107714666861,40.524092078649566,40.69422297709636,41.282781918352384,40.2867801216614,40.25421538436168,40.0305475882179,38.97418452924788,38.86461061365176,39.30718068278901,39.91865663363975,40.89644148302776,42.91542818264292,43.824915273546964,43.717460060910156,45.2112921390923
